timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1766834314465,4,3-买家登录,401,,50并发-确认收货+评价流程 1-21,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834314469,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-21,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/21/receive,2,0,0
1766834314472,3,5-买家评价,401,,50并发-确认收货+评价流程 1-21,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,3,0,0
1766834314551,16,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-22,,false,,2579,1187,1,1,null,0,5,1
1766834314552,4,1-卖家登录,401,,50并发-确认收货+评价流程 1-22,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,4,0,1
1766834314557,2,2-卖家发货,401,,50并发-确认收货+评价流程 1-22,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/22/ship,2,0,0
1766834314560,5,3-买家登录,401,,50并发-确认收货+评价流程 1-22,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,5,0,0
1766834314565,3,4-买家确认收货,401,,50并发-确认收货+评价流程 1-22,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/22/receive,3,0,0
1766834314569,2,5-买家评价,401,,50并发-确认收货+评价流程 1-22,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834314651,17,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-23,,false,,2579,1187,1,1,null,0,4,1
1766834314651,7,1-卖家登录,401,,50并发-确认收货+评价流程 1-23,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834314658,2,2-卖家发货,401,,50并发-确认收货+评价流程 1-23,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/23/ship,2,0,0
1766834314661,4,3-买家登录,401,,50并发-确认收货+评价流程 1-23,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834314666,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-23,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/23/receive,2,0,0
1766834314669,2,5-买家评价,401,,50并发-确认收货+评价流程 1-23,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834314749,16,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-24,,false,,2579,1187,1,1,null,0,5,1
1766834314749,6,1-卖家登录,401,,50并发-确认收货+评价流程 1-24,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834314756,2,2-卖家发货,401,,50并发-确认收货+评价流程 1-24,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/24/ship,2,0,0
1766834314759,3,3-买家登录,401,,50并发-确认收货+评价流程 1-24,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,3,0,0
1766834314762,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-24,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/24/receive,2,0,0
1766834314766,3,5-买家评价,401,,50并发-确认收货+评价流程 1-24,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,3,0,0
1766834314849,17,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-25,,false,,2579,1187,1,1,null,0,3,2
1766834314849,5,1-卖家登录,401,,50并发-确认收货+评价流程 1-25,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,5,0,2
1766834314855,2,2-卖家发货,401,,50并发-确认收货+评价流程 1-25,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/25/ship,2,0,0
1766834314858,3,3-买家登录,401,,50并发-确认收货+评价流程 1-25,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,2,0,0
1766834314861,4,4-买家确认收货,401,,50并发-确认收货+评价流程 1-25,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/25/receive,4,0,0
1766834314866,3,5-买家评价,401,,50并发-确认收货+评价流程 1-25,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,3,0,0
1766834314948,16,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-26,,false,,2579,1187,1,1,null,0,5,0
1766834314949,5,1-卖家登录,401,,50并发-确认收货+评价流程 1-26,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,5,0,0
1766834314954,3,2-卖家发货,401,,50并发-确认收货+评价流程 1-26,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/26/ship,3,0,0
1766834314958,4,3-买家登录,401,,50并发-确认收货+评价流程 1-26,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
